origin,destination,distance_miles,departures_performed,seats,passengers
SLC,SEA,687.6,10883,1321675,1111529
SLC,PHX,508.2,9003,1093330,919490
SLC,ORD,1246.5,7711,936369,787486
SLC,ATL,1586.7,6764,821376,690778
SLC,DFW,987.5,6038,733245,616659
SLC,LGA,1977.5,5463,663391,557912
SLC,BOS,2099.7,4995,606563,510119
SLC,CDG,5066.2,2533,518320,435908
SLC,AMS,4976.3,2353,481369,404831
SLC,LHR,4853.4,2198,449708,378204
SLC,ICN,5891.0,2064,422254,355115
SLC,MEX,1660.5,3539,429732,361405
ABQ,DEN,349.2,8457,995941,824639
ABQ,PHX,327.9,4692,552533,457497
ABQ,DFW,567.6,3324,391454,324124
ABQ,LAX,675.8,2603,306537,253812
ABQ,ORD,1115.7,2153,253577,209961
ABQ,ATL,1266.5,1844,217173,179819
ABQ,LAS,485.5,1618,190502,157736
ABQ,SFO,894.6,1444,170062,140811
BOI,SEA,398.4,6262,754744,640777
BOI,DEN,647.7,3474,418720,355493
BOI,SFO,522.1,2461,296651,251857
BOI,LAX,675.2,1927,232300,197222
BOI,PHX,735.8,1594,192165,163148
BOI,SLC,289.7,1366,164578,139726
BOI,ORD,1433.4,1198,144366,122567
BOI,DFW,1270.4,1069,128876,109416
BOI,LAS,519.9,967,116599,98992
RNO,LAX,391.3,6344,776309,648994
RNO,SFO,191.6,3520,430684,360052
RNO,DEN,802.1,2494,305127,255087
RNO,PHX,600.7,1953,238937,199751
RNO,SEA,563.9,1615,197656,165240
RNO,LAS,345.1,1383,169280,141518
RNO,DFW,1342.3,1214,148491,124139
RNO,ORD,1667.1,1083,132559,110819
LAX,SFO,337.8,66101,9730001,8241311
LAX,LAS,236.3,36672,5398056,4572154
LAX,JFK,2469.5,25981,3824369,3239241
LAX,DEN,860.6,20345,2994759,2536561
LAX,SEA,955.1,16830,2477356,2098320
LAX,PHX,369.4,14414,2121702,1797081
LAX,ORD,1741.0,12644,1861142,1576387
LAX,DFW,1232.2,11287,1661447,1407245
LAX,ATL,1942.3,10212,1503165,1273181
LAX,BOS,2605.3,5135,1273560,1078705
LAX,HNL,2552.7,4736,1174453,994762
LAX,OGG,2482.6,7997,1177088,996993
LAX,KOA,2501.4,4109,1018985,863080
LAX,LIH,2611.6,3858,956777,810390
LAX,NRT,5438.8,3638,902281,764232
LAX,HND,5475.9,3444,854117,723437
LAX,ICN,5981.9,3271,811219,687102
LAX,PVG,6471.6,3116,772748,654517
LAX,HKG,7247.9,2976,738038,625118
LAX,TPE,6786.9,2849,706552,598449
LAX,SIN,8761.7,2733,677849,574138
LAX,SYD,7494.3,2627,651569,551879
LAX,AKL,6516.3,2530,627409,531415
LAX,LHR,5443.3,2440,605118,512535
LAX,CDG,5656.2,2357,584481,495055
LAX,FRA,5792.0,2280,565317,478824
LAX,MEX,1553.4,4014,590818,500423
LAX,GRU,6163.1,2140,530805,449592
LAX,DXB,8326.5,2077,515206,436380
LAX,DOH,8293.4,2018,500572,423984
SFO,LAX,337.8,45183,6401465,5511661
SFO,JFK,2580.0,13787,3290868,2833437
SFO,SEA,679.1,17759,2516091,2166354
SFO,LAS,413.2,13907,1970282,1696413
SFO,DEN,965.0,11504,1629877,1403324
SFO,SAN,446.8,9852,1395889,1201860
SFO,ORD,1841.8,8642,1224464,1054264
SFO,DFW,1461.5,7715,1093082,941144
SFO,BOS,2697.4,3839,916389,789011
SFO,ATL,2134.4,6382,904231,778543
SFO,HNL,2396.4,5886,833865,717958
SFO,OGG,2336.4,5466,774418,666774
SFO,NRT,5111.5,2809,670400,577215
SFO,HND,5148.5,2637,629473,541976
SFO,ICN,5645.9,2487,593620,511107
SFO,PVG,6137.1,2354,561932,483824
SFO,HKG,6914.3,2236,533709,459523
SFO,TPE,6456.5,2130,508399,437731
SFO,SIN,8438.3,2034,485563,418070
SFO,SYD,7425.0,1947,464847,400234
SFO,LHR,5354.0,1868,445964,383975
SFO,CDG,5569.0,1796,428674,369088
SFO,FRA,5684.2,1729,412779,355402
SFO,AMS,5459.1,1668,398113,342775
SFO,MUC,5863.9,1611,384536,331085
SFO,ZRH,5825.8,1558,371928,320230
SFO,DEL,7693.6,1509,360186,310120
SFO,DXB,8090.1,1463,349222,300680
SAN,SFO,446.8,25987,3418830,2933356
SAN,LAX,109.0,14417,1896715,1627381
SAN,LAS,259.0,10214,1343768,1152953
SAN,DEN,852.0,7998,1052268,902846
SAN,PHX,303.8,6617,870468,746862
SAN,SEA,1051.5,5667,745502,639641
SAN,ORD,1720.0,4971,653949,561089
SAN,DFW,1168.5,4437,583782,500885
SAN,JFK,2441.0,4015,528167,453167
SAN,ATL,1887.7,3671,482923,414348
SAN,BOS,2582.3,1862,412668,354069
SAN,HNL,2610.0,1729,383248,328827
SAN,OGG,2537.2,1615,358041,307199
SAN,LHR,5472.7,1517,336183,288445
SAN,CUN,2026.1,2601,342137,293553
SAN,SJD,803.3,2462,323874,277884
SAN,NRT,5544.6,1286,285038,244562
SNA,SFO,372.0,11674,1589468,1386016
SNA,SJC,342.1,6476,881812,768940
SNA,LAS,226.6,4588,624739,544772
SNA,PHX,337.6,3593,489216,426596
SNA,DEN,844.7,2972,404694,352894
SNA,SEA,979.4,2546,346596,302231
SNA,DFW,1202.1,2233,304031,265115
SNA,ORD,1722.2,1993,271410,236669
SNA,JFK,2448.8,1803,245553,214122
SNA,ATL,1914.6,1649,224518,195780
SNA,SLC,588.4,1521,207047,180545
SNA,SJD,878.9,1412,192286,167673
SNA,PVR,1184.1,1319,179639,156645
SJC,LAX,308.1,12979,1683638,1419307
SJC,SNA,342.1,7201,934057,787410
SJC,SEA,697.2,5101,661753,557858
SJC,LAS,385.4,3995,518200,436843
SJC,DEN,945.8,3305,428671,361370
SJC,PHX,620.6,2830,367130,309491
SJC,ORD,1824.9,2483,322044,271483
SJC,DFW,1435.3,2216,287490,242354
SJC,JFK,2563.0,1103,241018,203178
SJC,HNL,2414.6,1833,237820,200482
SJC,OGG,2353.7,1691,219313,184881
SJC,GDL,1612.8,1570,203678,171701
SJC,NRT,5141.9,807,176321,148638
OAK,LAX,336.8,12209,1662331,1414643
OAK,SNA,370.6,6773,922236,784823
OAK,LAS,406.2,4799,653378,556024
OAK,SEA,672.8,3758,511642,435408
OAK,PHX,644.8,3108,423246,360182
OAK,DEN,954.9,2662,362484,308474
OAK,HNL,2406.6,2335,317968,270591
OAK,OGG,2346.8,2085,283851,241557
OAK,JFK,2569.6,1037,237968,202510
OAK,GDL,1640.6,1725,234810,199824
OAK,SJD,1248.9,1590,216538,184274
SMF,LAX,373.1,15364,1950665,1648312
SMF,SFO,85.7,8524,1082199,914458
SMF,LAS,396.6,6039,766707,647868
SMF,SEA,606.0,4729,600388,507328
SMF,PHX,646.2,3912,496659,419677
SMF,DEN,907.0,3350,425358,359427
SMF,SAN,480.0,2939,373121,315287
SMF,ORD,1776.9,2624,333086,281458
SMF,DFW,1428.0,2374,301354,254644
SMF,HNL,2460.3,2170,275539,232830
SMF,GDL,1661.3,2001,254097,214712
ONT,SFO,363.6,8396,1089118,913770
ONT,SJC,333.4,4658,604226,506946
ONT,LAS,196.9,3300,428077,359157
ONT,PHX,324.0,2584,335215,281246
ONT,DEN,817.4,2138,277300,232655
ONT,SEA,957.2,1831,237491,199255
ONT,DFW,1185.6,1606,208325,174785
ONT,ORD,1696.4,1434,185972,156031
ONT,GDL,1279.5,1297,168255,141166
ONT,HNL,2599.6,652,142555,119603
BUR,SFO,326.2,8147,1026802,878942
BUR,SJC,296.3,4520,569654,487624
BUR,LAS,223.0,3202,403584,345468
BUR,PHX,368.1,2507,316035,270526
BUR,SEA,938.1,2074,261434,223788
BUR,DEN,848.7,1776,223902,191660
BUR,SLC,573.7,1558,196405,168123
BUR,DFW,1228.6,1391,175332,150084
BUR,JFK,2459.7,1259,158628,135786
PDX,SEA,129.3,24045,2942131,2471390
PDX,SFO,550.7,13340,1632249,1371090
PDX,LAX,834.6,9451,1156402,971378
PDX,LAS,762.5,7401,905547,760660
PDX,DEN,989.4,6122,749096,629241
PDX,PHX,1009.8,5243,641554,538906
PDX,ORD,1734.5,4599,562767,472724
PDX,DFW,1613.4,4106,502384,422002
PDX,JFK,2447.3,3715,454523,381799
PDX,HNL,2602.6,1868,385096,323480
PDX,OGG,2561.6,1723,355128,298307
PDX,AMS,4988.7,1600,329811,277041
PDX,YVR,250.7,2718,332514,279312
SEA,LAX,955.1,48190,6561491,5610075
SEA,SFO,679.1,26735,3640215,3112384
SEA,PDX,129.3,18941,2578989,2205035
SEA,LAS,866.7,14832,2019536,1726703
SEA,DEN,1022.4,12270,1670621,1428381
SEA,PHX,1107.3,10508,1430784,1223320
SEA,ORD,1716.1,9218,1255074,1073088
SEA,JFK,2415.0,8229,1120408,957948
SEA,DFW,1657.7,7445,1013670,866687
SEA,ATL,2177.8,6807,926835,792444
SEA,ANC,1445.0,6277,854710,730777
SEA,HNL,2676.9,3206,735538,628885
SEA,OGG,2639.9,2995,687159,587521
SEA,KOA,2688.6,2813,645209,551653
SEA,LHR,4786.0,2652,608459,520233
SEA,CDG,5001.6,2511,575980,492463
SEA,AMS,4871.5,2385,547051,467728
SEA,FRA,5093.1,2272,521108,445547
SEA,ICN,5203.7,2170,497701,425534
SEA,NRT,4756.5,2077,476468,407380
SEA,HND,4791.9,1993,457112,390831
SEA,TPE,6062.6,1915,439390,375678
SEA,DXB,7411.4,1844,423097,361748
SEA,YVR,127.2,3234,440375,376521
PSP,SFO,420.7,4378,539739,459318
PSP,LAX,109.4,2429,299439,254823
PSP,SEA,988.3,1721,212144,180535
PSP,DEN,774.5,1348,166124,141372
PSP,PHX,260.0,1115,137423,116947
PSP,DFW,1123.5,955,117694,100158
PSP,ORD,1648.3,837,103241,87858
PSP,JFK,2373.2,748,92163,78431
PSP,YVR,1115.4,676,83383,70959
ANC,SEA,1445.0,6329,751101,579099
ANC,PDX,1539.0,3511,416699,321275
ANC,SFO,2015.4,2488,295220,227614
ANC,LAX,2343.1,1948,231178,178238
ANC,DEN,2400.7,1611,191238,147444
ANC,MSP,2511.4,759,151767,117012
ANC,ORD,2838.8,666,133129,102642
ANC,PHX,2548.5,594,118844,91629
ANC,LAS,2301.0,978,116036,89464
ANC,HNL,2780.2,492,98312,75798
ANC,FAI,260.3,824,97840,75434
ANC,BET,397.3,766,90864,70057
ANC,OME,537.2,715,84888,65449
ANC,OTZ,546.8,672,79706,61453
ANC,BRW,722.5,633,75166,57953
ANC,SCC,624.7,600,71153,54859
ANC,JNU,569.1,569,67580,52104
ANC,KTN,772.7,542,64375,49633
ANC,ADQ,252.3,518,61483,47404
ANC,CDV,159.3,496,58860,45381
ANC,DLG,329.2,476,56469,43538
ANC,SIT,590.4,457,54280,41850
FAI,ANC,260.3,2379,249501,190120
FAI,SEA,1529.5,1320,138420,105476
FAI,MSP,2459.6,935,98066,74727
FAI,ORD,2778.5,403,71159,54223
FAI,DEN,2425.2,606,63526,48406
FAI,PDX,1636.6,519,54406,41457
FAI,BRW,501.6,455,47724,36366
FAI,OTZ,439.3,406,42604,32464
HNL,OGG,100.4,19855,3068738,2540915
HNL,KOA,163.3,11015,1702489,1409661
HNL,LIH,101.7,7804,1206165,998705
HNL,ITO,216.3,6111,944515,782058
HNL,LAX,2552.7,2780,724006,599477
HNL,SFO,2396.4,4329,669162,554066
HNL,SEA,2676.9,2089,543918,450364
HNL,PDX,2602.6,1865,485557,402041
HNL,SAN,2610.0,1687,439299,363740
HNL,SJC,2414.6,2805,433471,358914
HNL,OAK,2406.6,2586,399739,330984
HNL,PHX,2913.3,1321,344003,284835
HNL,LAS,2759.1,1234,321377,266100
HNL,DEN,3360.2,1159,301757,249855
HNL,ORD,4237.1,1093,284570,235624
HNL,DFW,3778.3,1034,269379,223046
HNL,JFK,4975.2,983,255850,211843
HNL,NRT,3812.4,936,243716,201797
HNL,HND,3847.6,894,232769,192733
HNL,ICN,4569.6,856,222839,184511
HNL,SYD,5076.7,821,213786,177015
HNL,GUM,3796.1,789,205498,170152
OGG,HNL,100.4,9062,1317306,1097316
OGG,LAX,2482.6,5028,730821,608774
OGG,SFO,2336.4,3562,517766,431299
OGG,SEA,2639.9,1534,375701,312959
OGG,PDX,2561.6,1269,310791,258889
OGG,SAN,2537.2,1087,266173,221722
OGG,SJC,2353.7,1733,251973,209893
OGG,OAK,2346.8,1547,224937,187372
OGG,PHX,2840.9,770,188576,157084
OGG,DEN,3298.4,704,172422,143628
OGG,DFW,3704.7,649,159004,132451
OGG,ORD,4178.2,603,147669,123008
OGG,YVR,2673.1,563,137956,114918
